,word
0,一一
1,一万
2,一上
3,一下
4,一下子
5,一世
6,一丝
7,一个个
8,一个月
9,一个点
10,一中
11,一串
12,一事
13,一二
14,一人
15,一代
16,一件
17,一份
18,一会
19,一会儿
20,一位
21,一体
22,一個
23,一倍
24,一八
25,一共
26,一出
27,一分
28,一分钱
29,一切都是
30,一到
31,一刻
32,一副
33,一勺
34,一包
35,一千
36,一半
37,一双
38,一发
39,一口
40,一口气
41,一句
42,一只
43,一台
44,一号
45,一同
46,一名
47,一向
48,一员
49,一周
50,一回
51,一圈
52,一场
53,一块
54,一块钱
55,一堆
56,一場
57,一塊
58,一声
59,一夜
60,一大
61,一大口
62,一大早
63,一头
64,一套
65,一学
66,一家
67,一家人
68,一对
69,一小
70,一局
71,一层
72,一岁
73,一己
74,一带
75,一幅
76,一幕
77,一年
78,一度
79,一座
80,一开
81,一张
82,一張
83,一心
84,一想
85,一手
86,一打
87,一批
88,一把
89,一招
90,一排
91,一支
92,一整
93,一整天
94,一斤
95,一方
96,一旁
97,一日
98,一时
99,一是
100,一時
101,一會
102,一月
103,一期
104,一本
105,一条
106,一杯
107,一根
108,一條
109,一楼
110,一模
111,一模一样
112,一樣
113,一款
114,一步
115,一段
116,一段时间
117,一比
118,一波
119,一点一点
120,一点点
121,一片
122,一班
123,一生
124,一番
125,一百
126,一盒
127,一盘
128,一看
129,一眼
130,一瞬间
131,一碗
132,一碟
133,一种
134,一種
135,一端
136,一笑
137,一笔
138,一篇
139,一类
140,一系列
141,一级
142,一线
143,一群
144,一股
145,一脸
146,一致
147,一般来说
148,一色
149,一节
150,一號
151,一行
152,一角
153,一趟
154,一路
155,一身
156,一輩子
157,一轮
158,一辆
159,一辈子
160,一边
161,一进
162,一遍
163,一道
164,一邊
165,一部
166,一部分
167,一锅
168,一開始
169,一間
170,一门
171,一集
172,一面
173,一頭
174,一顆
175,一项
176,一顿
177,一颗
178,一首
179,一黑
180,一點
181,一點點
182,七八
183,七天
184,七百
185,万万
186,万个
187,万人
188,万元
189,万多
190,丈夫
191,三下
192,三个
193,三人
194,三代
195,三位
196,三個
197,三倍
198,三分
199,三分钟
200,三十
201,三十年
202,三千
203,三四
204,三块
205,三天
206,三年
207,三星
208,三次
209,三款
210,三点
211,三百
212,三种
213,三級
214,三角
215,三连
216,三點
217,上传
218,上來
219,上入
220,上升
221,上午
222,上半身
223,上去
224,上头
225,上学
226,上學
227,上山
228,上市
229,上市公司
230,上帝
231,上年
232,上手
233,上方
234,上来
235,上次
236,上海
237,上涨
238,上班
239,上盖
240,上線
241,上级
242,上线
243,上网
244,上菜
245,上课
246,上路
247,上車
248,上车
249,上述
250,上限
251,上面
252,下一代
253,下一個
254,下个
255,下來
256,下個
257,下入
258,下午
259,下半身
260,下单
261,下去
262,下场
263,下定
264,下巴
265,下手
266,下方
267,下期
268,下来
269,下次
270,下水
271,下沉
272,下滑
273,下班
274,下行
275,下跌
276,下載
277,下车
278,下载
279,下边
280,下锅
281,下降
282,下限
283,下雨
284,下面
285,下饭
286,不一樣
287,不上
288,不下
289,不久
290,不了
291,不仅仅
292,不以
293,不住
294,不來
295,不信
296,不停
297,不僅
298,不像
299,不公
300,不再
301,不准
302,不出
303,不利
304,不到
305,不动
306,不動
307,不去
308,不及
309,不可
310,不吃
311,不合
312,不合理
313,不同
314,不在乎
315,不多
316,不够
317,不夠
318,不大
319,不太
320,不太可能
321,不太好
322,不好
323,不好意思
324,不学
325,不安
326,不定
327,不客
328,不对劲
329,不小
330,不少
331,不屬
332,不差
333,不带
334,不干
335,不幸
336,不得不
337,不得了
338,不必
339,不快
340,不怎么
341,不惜
342,不想
343,不應
344,不敢
345,不断
346,不斷
347,不明
348,不易
349,不會
350,不来
351,不止
352,不正
353,不满
354,不爱
355,不爽
356,不理
357,不生
358,不用说
359,不看
360,不知
361,不知不觉
362,不知所措
363,不算
364,不給
365,不肯
366,不能不
367,不良
368,不花
369,不著
370,不行
371,不見
372,不覺
373,不见
374,不让
375,不许
376,不该
377,不说
378,不谢
379,不起
380,不足
381,不過
382,不錯
383,不错
384,不願
385,不高
386,专业
387,专家
388,专注
389,专门
390,世界
391,世界观
392,世紀
393,世纪
394,业务
395,东京
396,东西
397,丢人
398,两人
399,两位
400,两侧
401,两分
402,两只
403,两块
404,两天
405,两层
406,两年
407,两张
408,两条
409,两根
410,两次
411,两点
412,两百
413,两种
414,两边
415,两部
416,两颗
417,严格
418,严肃
419,严重
420,並且
421,並沒有
422,个人
423,个体
424,个头
425,中午
426,中国
427,中國
428,中國人
429,中央
430,中学
431,中心
432,中文
433,中有
434,中期
435,中等
436,中華
437,中路
438,中途
439,中間
440,中间
441,丰富
442,为主
443,为啥
444,主义
445,主人
446,主力
447,主动
448,主動
449,主导
450,主席
451,主张
452,主意
453,主打
454,主持
455,主持人
456,主播
457,主机
458,主板
459,主流
460,主管
461,主要
462,主观
463,主角
464,主题
465,举个
466,举报
467,举起
468,久久
469,之下
470,之中
471,之内
472,之力
473,之外
474,之心
475,之間
476,之间
477,乐意
478,乐观
479,乖乖
480,九九
481,也就是说
482,也许
483,习惯
484,买不起
485,买个
486,买房
487,买点
488,乾淨
489,乾脆
490,了解
491,争取
492,事业
493,事件
494,事儿
495,事务
496,事实
497,事实上
498,事實
499,事故
500,事物
501,二人
502,二代
503,二十
504,二十年
505,二号
506,二楼
507,二次
508,亏了
509,互动
510,互相
511,互联
512,互联网
513,互聯網
514,五一
515,五个
516,五分钟
517,五十
518,五千
519,五块
520,五塊
521,五年
522,五月
523,五毛
524,五点
525,五百
526,亚克力
527,交代
528,交出
529,交往
530,交律
531,交易
532,交流
533,交给
534,交通
535,交配
536,产业
537,产出
538,产品
539,产生
540,享受
541,亲人
542,亲戚
543,亲自
544,人事
545,人人
546,人会
547,人住
548,人体
549,人們
550,人力
551,人去
552,人口
553,人员
554,人員
555,人均
556,人士
557,人大
558,人头
559,人工
560,人心
561,人性
562,人情
563,人才
564,人数
565,人數
566,人有
567,人来
568,人格
569,人比
570,人民
571,人物
572,人生
573,人用
574,人类
575,人类文明
576,人群
577,人能
578,人覺
579,人选
580,人間
581,人间
582,人類
583,什麼樣
584,仅仅
585,仇杀
586,今年
587,今日
588,今晚
589,介紹
590,介绍
591,仍然
592,从事
593,从小
594,从未
595,从来
596,从来不
597,仓库
598,仔细
599,他会
600,他俩
601,他會
602,他現
603,他給
604,他還
605,付出
606,代价
607,代替
608,代表
609,令人
610,以下
611,以來
612,以前
613,以后
614,以外
615,以往
616,以為
617,价值
618,价值观
619,价格
620,任何人
621,任务
622,任務
623,任意
624,份子
625,仿佛
626,企业
627,企業
628,休息
629,优先
630,优势
631,优化
632,优惠
633,优秀
634,优质
635,会上
636,会为
637,会儿
638,会员
639,会见
640,会议
641,传到
642,传奇
643,传来
644,传终
645,传统
646,传说
647,传达
648,伤口
649,伤害
650,伤疤
651,估計
652,估计
653,伴随
654,伺候
655,似乎
656,位于
657,位子
658,位置
659,低下
660,低于
661,低价
662,住宿
663,住房
664,体会
665,体内
666,体制
667,体力
668,体型
669,体态
670,体现
671,体积
672,体系
673,体育
674,体重
675,体面
676,体验
677,余光
678,佛教
679,作业
680,作品
681,作家
682,作為
683,作用
684,作者
685,你們
686,你別
687,你别
688,你好
689,你家
690,你會
691,你現
692,你生
693,你給
694,你老
695,你還
696,使命
697,使用
698,來來
699,來源
700,來給
701,來講
702,例外
703,例子
704,供应
705,依旧
706,依次
707,依然
708,依舊
709,侧边
710,侧面
711,便利
712,便宜
713,便是
714,促使
715,促死
716,促进
717,俄罗斯
718,俗话说
719,保存
720,保守
721,保安
722,保密
723,保护
724,保持
725,保留
726,保證
727,保護
728,保证
729,保重
730,保险
731,保障
732,保險
733,信仰
734,信任
735,信号
736,信心
737,信念
738,信息
739,信用
740,修复
741,修改
742,修理
743,個小時
744,倒入
745,倒地
746,倒角
747,值得
748,假装
749,假设
750,偏偏
751,偏向
752,偏移
753,做个
754,做事
755,做人
756,做出
757,做到
758,做好
759,做得好
760,做成
761,做法
762,做生意
763,做过
764,做過
765,做饭
766,停下
767,停掉
768,停止
769,停留
770,健康
771,健身
772,健身房
773,偶尔
774,偷偷
775,傳統
776,傷害
777,傻子
778,像是
779,像素
780,價值
781,價格
782,優先
783,優勢
784,優化
785,優秀
786,儿子
787,儿童
788,允許
789,允许
790,元旦
791,元素
792,兄弟
793,兄弟姐妹
794,充分
795,充实
796,充满
797,充滿
798,充电
799,充足
800,先來
801,先先
802,先到
803,先去
804,先是
805,先来
806,先生
807,先看
808,先給
809,先行
810,先走
811,先进
812,先進
813,光光
814,光学
815,光影
816,光明
817,光线
818,克斯
819,免費
820,免费
821,兒子
822,入侵
823,入口
824,入学
825,入手
826,入行
827,內卷
828,內容
829,內心
830,內絕
831,內部
832,全世界
833,全力
834,全国
835,全國
836,全场
837,全天
838,全家
839,全新
840,全是
841,全民
842,全球
843,全程
844,全网
845,全身
846,全部都是
847,全都
848,全面
849,兩人
850,兩位
851,兩塊
852,兩天
853,兩年
854,兩次
855,兩種
856,八个
857,八九
858,八五
859,八個
860,八十
861,八小時
862,八百
863,八角
864,公主
865,公交
866,公人
867,公众
868,公信
869,公共
870,公务员
871,公司
872,公园
873,公園
874,公子
875,公室
876,公布
877,公平
878,公开
879,公民
880,公测
881,公然
882,公益
883,公眾
884,公資
885,公资
886,公路
887,公里
888,公開
889,六个
890,六個
891,六十
892,六岁
893,六次
894,六点
895,六點
896,共产
897,共享
898,共同
899,共和
900,共有
901,共识
902,关心
903,关掉
904,关注
905,关注度
906,关系
907,关节
908,关键
909,关门
910,兴趣
911,其他人
912,其實
913,具体
914,具有
915,具體
916,典型
917,兼容
918,兼职
919,内卷
920,内存
921,内容
922,内心
923,内据
924,内部
925,再也
926,再來
927,再来
928,再来点
929,再次
930,再用
931,再見
932,再见
933,写下
934,农业
935,农村
936,农民
937,冠军
938,冰箱
939,冲击
940,决定
941,决心
942,冷头
943,冷排
944,冷水
945,冷液
946,冷静
947,准备
948,准确
949,凌晨
950,减少
951,凝固
952,几个
953,几乎
954,几位
955,几分
956,几十
957,几十年
958,几千
959,几块
960,几天
961,几家
962,几年
963,几期
964,几条
965,几根
966,几次
967,几点
968,凶手
969,出不来
970,出个
971,出事
972,出來
973,出入
974,出厂
975,出去
976,出发
977,出口
978,出台
979,出品
980,出售
981,出差
982,出手
983,出水口
984,出狱
985,出现
986,出現
987,出生
988,出發
989,出租房
990,出自
991,出行
992,出路
993,出身
994,出过
995,出锅
996,出門
997,出门
998,击败
999,分为
1000,分享
1001,分体
1002,分体式
1003,分分
1004,分別
1005,分到
1006,分割
1007,分化
1008,分子
1009,分工
1010,分开
1011,分得
1012,分成
1013,分手
1014,分数
1015,分析
1016,分泌
1017,分离
1018,分给
1019,分裂
1020,分身
1021,分辨
1022,分配
1023,分鐘
1024,分钟
1025,分開
1026,分離
1027,切下去
1028,切割
1029,切口
1030,切开
1031,切成
1032,切换
1033,切断
1034,刚刚
1035,刚好
1036,刚才
1037,创业
1038,创意
1039,创新
1040,创造
1041,初期
1042,判定
1043,判断
1044,別人
1045,利息
1046,利用
1047,利益
1048,别哭
1049,别忘了
1050,别看
1051,别跑
1052,到位
1053,到处
1054,到头
1055,到家
1056,到底
1057,到手
1058,到时候
1059,到来
1060,到达
1061,制作
1062,制定
1063,制度
1064,制裁
1065,制装
1066,制造
1067,刷新
1068,刷牙
1069,刺激
1070,則是
1071,前一天
1072,前两天
1073,前側
1074,前天
1075,前往
1076,前提
1077,前方
1078,前期
1079,前段
1080,前段时间
1081,前线
1082,前置
1083,前辈
1084,前面
1085,前餐
1086,剛剛
1087,剛好
1088,剛才
1089,剧情
1090,剩下
1091,剩余
1092,剪刀
1093,剪辑
1094,割破
1095,割裂
1096,創作
1097,創意
1098,創業
1099,創造
1100,力度
1101,力气
1102,力量
1103,劝说
1104,劝退
1105,办事
1106,办公
1107,办公室
1108,办法
1109,功夫
1110,功能
1111,功能性
1112,加一
1113,加上
1114,加个
1115,加入
1116,加加
1117,加大
1118,加工
1119,加强
1120,加快
1121,加水
1122,加油
1123,加深
1124,加点
1125,加热
1126,加班
1127,加班费
1128,加速
1129,加重
1130,加長
1131,动作
1132,动力
1133,动态
1134,动手
1135,动机
1136,动漫
1137,动物
1138,动画
1139,动静
1140,助理
1141,努力
1142,劳动
1143,劳动力
1144,劳动法
1145,劳动者
1146,勇敢
1147,動作
1148,動力
1149,動物
1150,動畫
1151,勞動
1152,勞動力
1153,勞動者
1154,包含
1155,包子
1156,包括
1157,包村
1158,包装
1159,包裹
1160,化妆
1161,化身
1162,北上
1163,北京
1164,匹配
1165,区分
1166,区别
1167,区域
1168,医生
1169,医疗
1170,医疗保险
1171,医院
1172,區別
1173,區域
1174,十一
1175,十七
1176,十万
1177,十三
1178,十个
1179,十二
1180,十五
1181,十几
1182,十几年
1183,十分
1184,十分钟
1185,十块钱
1186,十年
1187,十点
1188,十足
1189,千万
1190,千元
1191,千年
1192,千萬
1193,升級
1194,升级
1195,半个
1196,半個
1197,半夜
1198,半天
1199,半小时
1200,半年
1201,华为
1202,协议
1203,协调
1204,单一
1205,单位
1206,单独
1207,单纯
1208,单身
1209,卖出
1210,南方
1211,博主
1212,博士
1213,卡住
1214,卡巴
1215,卡掉
1216,卧室
1217,卫生
1218,印度
1219,印象
1220,危機
1221,危险
1222,危險
1223,即可
1224,即将
1225,却是
1226,卸下来
1227,卸掉
1228,厂家
1229,历史
1230,厉害
1231,压制
1232,压力
1233,压疑
1234,压缩
1235,厕所
1236,厚度
1237,原价
1238,原來
1239,原先
1240,原则
1241,原创
1242,原味
1243,原因
1244,原地
1245,原始
1246,原工
1247,原有
1248,原本
1249,原来
1250,原理
1251,原生
1252,原谅
1253,厨房
1254,厲害
1255,去世
1256,去年
1257,去掉
1258,去过
1259,参与
1260,参加
1261,参照物
1262,参考
1263,参观
1264,參加
1265,友好
1266,双手
1267,双方
1268,双舱
1269,反击
1270,反复
1271,反对
1272,反应
1273,反思
1274,反應
1275,反抗
1276,反映
1277,反正
1278,反派
1279,发了
1280,发出
1281,发射
1282,发展
1283,发布
1284,发布会
1285,发挥
1286,发热
1287,发生
1288,发电
1289,发言
1290,发达
1291,叔叔
1292,取代
1293,取得
1294,取決
1295,取消
1296,受不了
1297,受伤
1298,受害者
1299,受热
1300,变化
1301,变得
1302,变成
1303,叙事
1304,口中
1305,口号
1306,口味
1307,口子
1308,口感
1309,口气
1310,口罩
1311,口语
1312,古代
1313,另一面
1314,只不过
1315,只会
1316,只想
1317,只會
1318,只能
1319,叫做
1320,可不
1321,可不可以
1322,可不是
1323,可乐
1324,可别
1325,可怕
1326,可怜
1327,可惜
1328,可愛的
1329,可控
1330,可爱
1331,可能性
1332,台上
1333,台子
1334,台词
1335,右侧
1336,右手
1337,右手边
1338,右腿
1339,右边
1340,右邊
1341,司机
1342,吃个
1343,吃掉
1344,吃点
1345,吃饭
1346,吃饱
1347,各個
1348,各国
1349,各地
1350,各大
1351,各种各样
1352,各種
1353,各类
1354,合作
1355,合同
1356,合格
1357,合法
1358,合理
1359,合适
1360,合適
1361,同一
1362,同一个
1363,同事
1364,同学
1365,同學
1366,同年
1367,同志
1368,同情
1369,同意
1370,同時
1371,同期
1372,同样
1373,同樣
1374,同款
1375,同步
1376,同等
1377,同行
1378,名为
1379,名人
1380,名企
1381,名叫
1382,名字
1383,名片
1384,后台
1385,后悔
1386,后期
1387,后来
1388,后果
1389,后续
1390,后面
1391,向上
1392,向下
1393,向前
1394,否定
1395,否认
1396,听不懂
1397,听到
1398,听懂
1399,听见
1400,听说
1401,听过
1402,吸引
1403,吸收
1404,吸氣
1405,吸血
1406,呈现
1407,告訴
1408,告诉
1409,员工
1410,周一
1411,周五
1412,周六
1413,周围
1414,周圍
1415,周日
1416,周期
1417,周末
1418,周边
1419,味道
1420,呼吸
1421,呼氣
1422,命令
1423,命运
1424,命運
1425,和平
1426,咖啡
1427,咱們
1428,品牌
1429,品类
1430,品质
1431,哇塞
1432,哈哈哈哈
1433,員工
1434,哥们
1435,哥哥
1436,哪個
1437,哪兒
1438,哪有
1439,哪来
1440,哪裡
1441,哭泣
1442,哲伦
1443,唐朝
1444,唯一
1445,唱歌
1446,商业
1447,商人
1448,商品
1449,商场
1450,商家
1451,商店
1452,商業
1453,商量
1454,啊啊啊
1455,啟動
1456,喜歡
1457,喝水
1458,喝点
1459,喝酒
1460,單位
1461,單純
1462,嘗試
1463,嘴上
1464,嘴唇
1465,嘴巴
1466,嘿嘿嘿
1467,嚴重
1468,四个
1469,四五
1470,四位
1471,四個
1472,四十
1473,四十五
1474,四周
1475,四大
1476,四季
1477,四川
1478,四年
1479,四种
1480,四點
1481,回事
1482,回來
1483,回到
1484,回去
1485,回報
1486,回复
1487,回头
1488,回家
1489,回家吧
1490,回应
1491,回归
1492,回忆
1493,回来
1494,回答
1495,回落
1496,回路
1497,因素
1498,团队
1499,困住
1500,困境
1501,困惑
1502,困扰
1503,困难
1504,困難
1505,围绕
1506,固化
1507,固定
1508,国内
1509,国外
1510,国家
1511,国际
1512,图文
1513,图片
1514,圈子
1515,國內
1516,國外
1517,國家
1518,國際
1519,團隊
1520,土地
1521,土豆
1522,在乎
1523,在内
1524,在外
1525,在家
1526,在意
1527,在我看来
1528,在手
1529,在生活中
1530,地上
1531,地下
1532,地产
1533,地位
1534,地区
1535,地區
1536,地去
1537,地图
1538,地址
1539,地板
1540,地点
1541,地球
1542,地瓜
1543,地铁
1544,地面
1545,场上
1546,场景
1547,场面
1548,均匀
1549,坐下
1550,坐在
1551,坐坐
1552,块钱
1553,坚决
1554,坚定
1555,坚持
1556,垂直
1557,垃圾
1558,型号
1559,城市
1560,執行
1561,培养
1562,培長
1563,培養
1564,基因
1565,基地
1566,基操
1567,基数
1568,基本
1569,基本上
1570,基础
1571,基礎
1572,基金
1573,堅持
1574,堆积
1575,報仇
1576,報告
1577,場所
1578,場景
1579,堵住
1580,塑料
1581,填满
1582,墙上
1583,墙壁
1584,增加
1585,增大
1586,增强
1587,增長
1588,增长
1589,壓力
1590,壓縮
1591,士兵
1592,声音
1593,处于
1594,处理
1595,复杂
1596,复活
1597,夏天
1598,外交
1599,外人
1600,外企
1601,外出
1602,外加
1603,外卖
1604,外国
1605,外国人
1606,外國
1607,外國人
1608,外地
1609,外层
1610,外星
1611,外界
1612,外表
1613,外观
1614,外賣
1615,外边
1616,外部
1617,外面
1618,多一点
1619,多万
1620,多个
1621,多久
1622,多人
1623,多位
1624,多余
1625,多元
1626,多公里
1627,多多
1628,多天
1629,多家
1630,多年
1631,多数
1632,多期
1633,多次
1634,多种
1635,多重
1636,多钱
1637,大不了
1638,大事
1639,大于
1640,大人
1641,大众
1642,大会
1643,大体
1644,大佬
1645,大公
1646,大利
1647,大力
1648,大功
1649,大卡
1650,大厂
1651,大叔
1652,大名
1653,大哥
1654,大哭
1655,大地
1656,大块
1657,大型
1658,大城市
1659,大声
1660,大多
1661,大多数
1662,大大
1663,大头
1664,大好
1665,大妈
1666,大学
1667,大学生
1668,大學
1669,大小
1670,大局
1671,大山
1672,大工
1673,大师
1674,大幅
1675,大手
1676,大招
1677,大概
1678,大气
1679,大汉
1680,大海
1681,大火
1682,大爷
1683,大片
1684,大王
1685,大理
1686,大盘
1687,大神
1688,大約
1689,大胆
1690,大脑
1691,大腦
1692,大腿
1693,大致
1694,大街
1695,大规模
1696,大赛
1697,大部分
1698,大都
1699,大量
1700,大門
1701,大门
1702,大阪
1703,大陆
1704,大陸
1705,天一
1706,天上
1707,天下
1708,天主
1709,天亮
1710,天后
1711,天地
1712,天堂
1713,天大
1714,天天
1715,天子
1716,天才
1717,天气
1718,天然
1719,天真
1720,天空
1721,天花
1722,天赋
1723,太久
1724,太多
1725,太大
1726,太太
1727,太好了
1728,太子
1729,太小
1730,太少
1731,太快
1732,太棒了
1733,太爽了
1734,太累
1735,太美
1736,太行
1737,太贵
1738,太过
1739,太阳
1740,太陽
1741,太难
1742,太香
1743,太高
1744,夫人
1745,夫妇
1746,夫妻
1747,失业
1748,失去
1749,失控
1750,失敗
1751,失望
1752,失業
1753,失误
1754,失败
1755,头上
1756,头像
1757,头发
